ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,rural,Drinking water,2005,4.85431,39422166.76,Limited service
IND,India,urban,Drinking water,2005,2.3178,7776322.54,Limited service
IND,India,rural,Sanitation,2005,74.77553,607256636.4,Open defecation
IND,India,urban,Sanitation,2005,20.27789,68033092.6,Open defecation
IND,India,rural,Sanitation,2005,11.13094,90395064.85,Safely managed service
IND,India,urban,Sanitation,2005,25.46368,85431590.67,Safely managed service
IND,India,rural,Drinking water,2005,35.93492,291829713.7,Safely managed service
IND,India,rural,Drinking water,2005,1.53717,12483411.58,Surface water
IND,India,urban,Drinking water,2005,0.26886,902050.8496,Surface water
IND,India,rural,Sanitation,2005,4.3491,35319295.47,Unimproved
IND,India,urban,Sanitation,2005,5.84328,19604434.26,Unimproved
IND,India,rural,Drinking water,2005,14.48986,117673026.9,Unimproved
IND,India,urban,Drinking water,2005,4.56131,15303377.08,Unimproved
IND,India,urban,Drinking water,2006,92.90759,320180557.8,At least basic
IND,India,rural,Sanitation,2006,6.84502,56188252.67,Basic service
IND,India,urban,Sanitation,2006,30.94763,106652520.6,Basic service
IND,India,rural,Drinking water,2006,42.43256,348313440.8,Basic service
IND,India,rural,Sanitation,2006,4.06437,33362914.23,Limited service
IND,India,urban,Sanitation,2006,18.53568,63878140.35,Limited service
IND,India,rural,Drinking water,2006,4.92115,40395967.62,Limited service
IND,India,urban,Drinking water,2006,2.38039,8203346.423,Limited service
IND,India,rural,Sanitation,2006,71.28437,585147471.3,Open defecation
IND,India,urban,Sanitation,2006,18.99189,65450360.45,Open defecation
IND,India,rural,Sanitation,2006,13.58743,111534264.9,Safely managed service
IND,India,urban,Sanitation,2006,26.0429,89749735.24,Safely managed service
IND,India,rural,Drinking water,2006,37.33338,306456118.5,Safely managed service
IND,India,rural,Drinking water,2006,1.48395,12181190.44,Surface water
IND,India,urban,Drinking water,2006,0.26676,919316.4077,Surface water
IND,India,rural,Sanitation,2006,4.21881,34630713,Unimproved
IND,India,urban,Sanitation,2006,5.4819,18891867.35,Unimproved
IND,India,rural,Drinking water,2006,13.82896,113516898.6,Unimproved
IND,India,urban,Drinking water,2006,4.44527,15319393.36,Unimproved
IND,India,urban,Drinking water,2007,92.96301,328950200.5,At least basic
IND,India,rural,Sanitation,2007,7.49282,62142381.33,Basic service
IND,India,urban,Sanitation,2007,31.69769,112162474.6,Basic service
IND,India,rural,Drinking water,2007,41.66252,345531767.4,Basic service
IND,India,rural,Sanitation,2007,4.55114,37745301.94,Limited service
IND,India,urban,Sanitation,2007,18.66918,66061007.98,Limited service
IND,India,rural,Drinking water,2007,4.98843,41371968.98,Limited service
IND,India,urban,Drinking water,2007,2.44311,8644973.218,Limited service
IND,India,rural,Sanitation,2007,67.79322,562249027,Open defecation
IND,India,urban,Sanitation,2007,17.70589,62652411.27,Open defecation
IND,India,rural,Sanitation,2007,16.07429,133313549.5,Safely managed service
IND,India,urban,Sanitation,2007,26.80672,94855750.45,Safely managed service
IND,India,rural,Drinking water,2007,38.75026,321378738,Safely managed service
IND,India,rural,Drinking water,2007,1.43073,11865895.93,Surface water
